p00,p10,p01,p11,Total Number of Counts
0.1254143637,0.8745856363,0.0288181271,0.9711818729,49999999
0.1254505528,0.8745494472,0.0285433071,0.9714566929,
0.1253347555,0.8746652445,0.0280568533,0.9719431467,
0.1253951218,0.8746048782,0.0296852703,0.9703147297,
0.1253726933,0.8746273067,0.02892193,0.97107807,
0.125406139,0.874593861,0.0291458278,0.9708541722,
0.1254103886,0.8745896114,0.0282227148,0.9717772852,
0.1254187337,0.8745812663,0.0279346848,0.9720653152,
0.1254762312,0.8745237688,0.0284477266,0.9715522734,
0.125302208,0.874697792,0.0288084237,0.9711915763,
0.1253422119,0.8746577881,0.0291095174,0.9708904826,
0.1256095408,0.8743904592,0.0280841022,0.9719158978,
0.12539847,0.87460153,0.0288251002,0.9711748998,
0.1253511667,0.8746488333,0.0283859616,0.9716140384,
0.1253888792,0.8746111208,0.028530611,0.971469389,
0.1253106517,0.8746893483,0.0287071361,0.9712928639,
0.1254168336,0.8745831664,0.0287546053,0.9712453947,
0.1254219225,0.8745780775,0.0288018972,0.9711981028,
0.1254394862,0.8745605138,0.0279567766,0.9720432234,
0.1252648836,0.8747351164,0.0284492717,0.9715507283,
0.1253886767,0.8746113233,0.0284129233,0.9715870767,
0.125341226,0.874658774,0.028612557,0.971387443,
0.1254741718,0.8745258282,0.0293256357,0.9706743643,
0.125481948,0.874518052,0.0289308571,0.9710691429,
0.1254280462,0.8745719538,0.028251741,0.971748259,
0.1253536795,0.8746463205,0.0288254913,0.9711745087,
0.1253895305,0.8746104695,0.0286366217,0.9713633783,
0.1252577425,0.8747422575,0.0287930855,0.9712069145,
0.1254034288,0.8745965712,0.0290076256,0.9709923744,
0.1253754854,0.8746245146,0.0280258636,0.9719741364,
0.1253971815,0.8746028185,0.028595773,0.971404227,
0.1253692336,0.8746307664,0.0285232182,0.9714767818,
0.1253827735,0.8746172265,0.0287482375,0.9712517625,
0.1253260045,0.8746739955,0.0287625453,0.9712374547,
0.1253725982,0.8746274018,0.0281866518,0.9718133482,
0.1253103827,0.8746896173,0.0283722489,0.9716277511,
0.1253184625,0.8746815375,0.0290392355,0.9709607645,
0.1254291508,0.8745708492,0.0283891497,0.9716108503,
0.1253036721,0.8746963279,0.0286726787,0.9713273213,
0.1253100999,0.8746899001,0.0285209451,0.9714790549,
0.1253129342,0.8746870658,0.0279907534,0.9720092466,
0.1252707403,0.8747292597,0.0283007054,0.9716992946,
0.1254178049,0.8745821951,0.0285801108,0.9714198892,
0.1254064,0.8745936,0.0286046257,0.9713953743,
0.1253743379,0.8746256621,0.0282771799,0.9717228201,
0.1254333075,0.8745666925,0.0279466135,0.9720533865,
0.1254591428,0.8745408572,0.0287069592,0.9712930408,
0.1254199557,0.8745800443,0.0286021203,0.9713978797,
0.125463264,0.874536736,0.0287330281,0.9712669719,
0.1252868412,0.8747131588,0.0280573393,0.9719426607,
