p00,p10,p01,p11
0.1253550493,0.8746449507,0.0297062836,0.9702937164
0.125463419,0.874536581,0.0290368053,0.9709631947
0.1254649162,0.8745350838,0.0292325611,0.9707674389
0.125332988,0.874667012,0.0292235605,0.9707764395
0.1253989469,0.8746010531,0.0292560587,0.9707439413
0.1253185612,0.8746814388,0.0288540681,0.9711459319
0.1253618283,0.8746381717,0.0287488204,0.9712511796
0.1253824421,0.8746175579,0.0288726081,0.9711273919
0.1253048577,0.8746951423,0.0292519807,0.9707480193
0.1254232908,0.8745767092,0.0288772639,0.9711227361
0.1254068577,0.8745931423,0.0291309556,0.9708690444
0.1253533665,0.8746466335,0.0289917919,0.9710082081
0.1252186391,0.8747813609,0.0291365835,0.9708634165
0.1253869208,0.8746130792,0.0294260763,0.9705739237
0.1254023921,0.8745976079,0.0290268474,0.9709731526
0.125277839,0.874722161,0.0279759718,0.9720240282
0.125360701,0.874639299,0.0300803098,0.9699196902
0.1254270672,0.8745729328,0.0292136337,0.9707863663
0.1252576189,0.8747423811,0.0289527572,0.9710472428
0.1253762703,0.8746237297,0.0285285827,0.9714714173
0.1253586491,0.8746413509,0.0286127391,0.9713872609
0.125360121,0.874639879,0.0290200643,0.9709799357
0.1252984061,0.8747015939,0.0292726713,0.9707273287
0.1253810835,0.8746189165,0.0287434504,0.9712565496
0.1253598116,0.8746401884,0.0290763646,0.9709236354
0.1254056486,0.8745943514,0.0285836551,0.9714163449
0.1253183781,0.8746816219,0.0294671593,0.9705328407
0.1253206846,0.8746793154,0.0297306193,0.9702693807
0.1253693882,0.8746306118,0.0288938518,0.9711061482
0.125417003,0.874582997,0.0284256936,0.9715743064
0.1254421561,0.8745578439,0.0290987978,0.9709012022
0.1254223605,0.8745776395,0.0289334098,0.9710665902
0.1253787088,0.8746212912,0.0290944419,0.9709055581
0.125349205,0.874650795,0.0287720748,0.9712279252
0.1254159068,0.8745840932,0.0295208647,0.9704791353
0.1254209839,0.8745790161,0.0290324077,0.9709675923
0.125427417,0.874572583,0.0292408554,0.9707591446
0.1253653355,0.8746346645,0.0297101896,0.9702898104
0.1254774217,0.8745225783,0.0291758439,0.9708241561
0.1253608491,0.8746391509,0.0291047399,0.9708952601
0.125318517,0.874681483,0.0290581266,0.9709418734
0.1255557996,0.8744442004,0.030052935,0.969947065
0.1254506426,0.8745493574,0.0291018642,0.9708981358
0.1253383639,0.8746616361,0.0288583863,0.9711416137
0.1254089722,0.8745910278,0.0293953469,0.9706046531
0.1253591423,0.8746408577,0.0291307052,0.9708692948
0.1253520908,0.8746479092,0.0284191279,0.9715808721
0.1254368348,0.8745631652,0.0289788385,0.9710211615
0.1254195985,0.8745804015,0.0292282244,0.9707717756
0.1253111858,0.8746888142,0.0291546089,0.9708453911
0.1253278079,0.8746721921,0.0289524478,0.9710475522
0.1254416337,0.8745583663,0.0291395357,0.9708604643
0.1253820463,0.8746179537,0.029621785,0.970378215
0.1255411925,0.8744588075,0.0287820035,0.9712179965
0.1253751057,0.8746248943,0.0289999227,0.9710000773
0.1253954541,0.8746045459,0.0294122196,0.9705877804
0.1254317401,0.8745682599,0.0292060134,0.9707939866
0.1252426993,0.8747573007,0.0286180096,0.9713819904
0.1253528011,0.8746471989,0.0296187472,0.9703812528
0.1254127504,0.8745872496,0.0294226709,0.9705773291
0.1253920358,0.8746079642,0.028689959,0.971310041
0.1254146518,0.8745853482,0.029558252,0.970441748
0.1253388368,0.8746611632,0.0292342793,0.9707657207
0.1253635675,0.8746364325,0.029147555,0.970852445
0.1253492584,0.8746507416,0.0289143368,0.9710856632
0.1253292046,0.8746707954,0.0294041531,0.9705958469
0.1253406271,0.8746593729,0.028619277,0.971380723
0.1253812143,0.8746187857,0.0295209965,0.9704790035
0.1253764913,0.8746235087,0.0286111225,0.9713888775
0.1252687893,0.8747312107,0.0297222866,0.9702777134
0.1253353308,0.8746646692,0.0292185614,0.9707814386
0.1252344374,0.8747655626,0.0290669072,0.9709330928
0.1254574969,0.8745425031,0.0293616342,0.9706383658
0.1253331523,0.8746668477,0.0296812882,0.9703187118
0.125435903,0.874564097,0.0280488683,0.9719511317
0.1253988792,0.8746011208,0.0293916855,0.9706083145
0.1254885831,0.8745114169,0.0292336,0.9707664
0.1254068384,0.8745931616,0.0291928727,0.9708071273
0.1254915261,0.8745084739,0.0292695407,0.9707304593
0.1252977142,0.8747022858,0.0295811182,0.9704188818
0.1253580663,0.8746419337,0.0293069226,0.9706930774
0.1252722703,0.8747277297,0.028842788,0.971157212
0.1252823167,0.8747176833,0.0292165837,0.9707834163
0.1254207529,0.8745792471,0.028733793,0.971266207
0.1252886456,0.8747113544,0.0291870179,0.9708129821
0.1253780215,0.8746219785,0.029195989,0.970804011
0.1252885472,0.8747114528,0.029091681,0.970908319
0.1254586925,0.8745413075,0.0289426625,0.9710573375
0.125496656,0.874503344,0.0280776312,0.9719223688
0.1253248133,0.8746751867,0.0299161153,0.9700838847
0.125340493,0.874659507,0.0286517377,0.9713482623
0.1254223445,0.8745776555,0.0296771069,0.9703228931
0.125319161,0.874680839,0.0292592669,0.9707407331
0.1253629285,0.8746370715,0.0291230114,0.9708769886
0.1253106541,0.8746893459,0.029022296,0.970977704
0.1254357963,0.8745642037,0.0290596705,0.9709403295
0.1254184141,0.8745815859,0.0284878119,0.9715121881
0.1253265846,0.8746734154,0.0297019048,0.9702980952
0.1252503187,0.8747496813,0.0287276926,0.9712723074
0.1253703818,0.8746296182,0.0294853089,0.9705146911
0.1254059096,0.8745940904,0.0288006414,0.9711993586
0.1252628466,0.8747371534,0.0285792206,0.9714207794
0.12535987,0.87464013,0.0292021178,0.9707978822
0.1254067983,0.8745932017,0.0293048965,0.9706951035
0.1252613151,0.8747386849,0.0285587779,0.9714412221
0.1253973001,0.8746026999,0.0291260129,0.9708739871
0.1253886843,0.8746113157,0.0290968669,0.9709031331
0.125317687,0.874682313,0.0287647967,0.9712352033
0.1253355802,0.8746644198,0.0290002164,0.9709997836
0.1253217006,0.8746782994,0.0292385974,0.9707614026
0.1254012884,0.8745987116,0.0297905982,0.9702094018
0.1254070897,0.8745929103,0.0292487194,0.9707512806
0.1253116954,0.8746883046,0.0284742509,0.9715257491
0.1253291193,0.8746708807,0.029496087,0.970503913
0.125365892,0.874634108,0.0283611661,0.9716388339
0.1253993942,0.8746006058,0.0292878615,0.9707121385
0.1254282327,0.8745717673,0.0294182794,0.9705817206
0.1254492273,0.8745507727,0.0292062382,0.9707937618
0.1253610523,0.8746389477,0.0293041234,0.9706958766
0.1253539322,0.8746460678,0.0288199129,0.9711800871
0.1254288096,0.8745711904,0.0285906544,0.9714093456
0.1254331787,0.8745668213,0.0291903322,0.9708096678
0.1254116787,0.8745883213,0.0290832119,0.9709167881
0.1253808671,0.8746191329,0.0288097944,0.9711902056
0.1254841953,0.8745158047,0.0290835114,0.9709164886
0.1253369384,0.8746630616,0.0293744901,0.9706255099
0.1253269745,0.8746730255,0.0296654001,0.9703345999
0.1256019518,0.8743980482,0.0290929864,0.9709070136
0.1253867042,0.8746132958,0.0292393458,0.9707606542
0.125362337,0.874637663,0.029603662,0.970396338
0.1253876174,0.8746123826,0.029198743,0.970801257
0.1253736139,0.8746263861,0.0292268576,0.9707731424
0.1253175609,0.8746824391,0.0290177656,0.9709822344
0.1254495662,0.8745504338,0.0295586989,0.9704413011
0.125453878,0.874546122,0.0295025236,0.9704974764
0.1252627164,0.8747372836,0.0289633514,0.9710366486
0.1253668834,0.8746331166,0.029004269,0.970995731
0.1254049157,0.8745950843,0.028919346,0.971080654
0.1254261133,0.8745738867,0.0284549283,0.9715450717
0.1255190487,0.8744809513,0.0292503818,0.9707496182
0.1254096058,0.8745903942,0.0294606109,0.9705393891
0.1253667084,0.8746332916,0.0288114998,0.9711885002
0.1254412605,0.8745587395,0.0287419297,0.9712580703
0.1252503748,0.8747496252,0.0293496502,0.9706503498
0.1253780927,0.8746219073,0.0290485293,0.9709514707
0.1253671448,0.8746328552,0.0294064595,0.9705935405
0.1254154586,0.8745845414,0.0292628083,0.9707371917
0.1253926197,0.8746073803,0.029127162,0.970872838
0.1253352334,0.8746647666,0.0293554629,0.9706445371
0.1253616002,0.8746383998,0.0289810829,0.9710189171
0.1253508099,0.8746491901,0.0295029144,0.9704970856
0.125379571,0.874620429,0.0292439628,0.9707560372
0.1252918449,0.8747081551,0.0290123106,0.9709876894
0.1254087462,0.8745912538,0.0290045837,0.9709954163
0.1253132797,0.8746867203,0.0289198102,0.9710801898
0.1252846971,0.8747153029,0.0300770786,0.9699229214
0.125345106,0.874654894,0.0291987709,0.9708012291
0.1252344567,0.8747655433,0.0293160112,0.9706839888
0.1254664123,0.8745335877,0.0292410622,0.9707589378
0.125347102,0.874652898,0.0296096628,0.9703903372
0.125419669,0.874580331,0.0285597235,0.9714402765
0.1254189056,0.8745810944,0.0290510406,0.9709489594
0.12546567,0.87453433,0.0287389396,0.9712610604
0.1254338236,0.8745661764,0.0294035674,0.9705964326
0.1254516881,0.8745483119,0.0290367397,0.9709632603
0.12531341,0.87468659,0.0291287681,0.9708712319
0.1253690444,0.8746309556,0.0287377059,0.9712622941
0.125263086,0.874736914,0.0286936485,0.9713063515
0.1252594642,0.8747405358,0.0288456582,0.9711543418
0.1254564481,0.8745435519,0.0286826375,0.9713173625
0.1252534149,0.8747465851,0.0289102202,0.9710897798
0.1254165225,0.8745834775,0.0289925128,0.9710074872
0.1252681861,0.8747318139,0.0292173501,0.9707826499
0.1254894174,0.8745105826,0.029481464,0.970518536
0.125463113,0.874536887,0.0292254661,0.9707745339
0.1253068826,0.8746931174,0.0292827131,0.9707172869
0.1253568586,0.8746431414,0.0291188016,0.9708811984
0.1254352516,0.8745647484,0.0295612435,0.9704387565
0.1253002311,0.8746997689,0.0286963581,0.9713036419
0.1253990321,0.8746009679,0.0291248592,0.9708751408
0.125308336,0.874691664,0.0290570232,0.9709429768
0.1254380078,0.8745619922,0.0289865526,0.9710134474
0.1254523214,0.8745476786,0.0297209711,0.9702790289
0.1252745525,0.8747254475,0.0290996445,0.9709003555
0.1252355368,0.8747644632,0.0291314374,0.9708685626
0.1253788378,0.8746211622,0.0289940067,0.9710059933
0.1253563757,0.8746436243,0.0291329551,0.9708670449
0.1253121293,0.8746878707,0.0296015258,0.9703984742
0.1253730363,0.8746269637,0.0291203037,0.9708796963
0.1253881435,0.8746118565,0.0293220121,0.9706779879
0.1252476646,0.8747523354,0.0291803954,0.9708196046
0.1254106827,0.8745893173,0.0294359946,0.9705640054
0.1253673893,0.8746326107,0.0299608938,0.9700391062
0.1253531152,0.8746468848,0.0301932305,0.9698067695
0.1253104129,0.8746895871,0.0292448263,0.9707551737
0.125360642,0.874639358,0.0300008715,0.9699991285
0.1253621371,0.8746378629,0.0285976528,0.9714023472
0.1253990245,0.8746009755,0.0298249583,0.9701750417
0.1253220255,0.8746779745,0.0289993627,0.9710006373
0.1253351514,0.8746648486,0.0284508882,0.9715491118
0.1253814308,0.8746185692,0.0280721458,0.9719278542
0.1254209005,0.8745790995,0.0291402845,0.9708597155
0.1254158973,0.8745841027,0.0297851862,0.9702148138
0.1254404795,0.8745595205,0.0287743207,0.9712256793
0.1253684209,0.8746315791,0.0288632555,0.9711367445
0.1253615553,0.8746384447,0.0285789265,0.9714210735
0.1254277336,0.8745722664,0.0295478745,0.9704521255
0.1253965122,0.8746034878,0.029428787,0.970571213
0.1254173108,0.8745826892,0.0287149482,0.9712850518
0.1254132069,0.8745867931,0.0287194144,0.9712805856
0.1254610687,0.8745389313,0.0293036511,0.9706963489
0.125324356,0.874675644,0.0289483026,0.9710516974
0.1253376529,0.8746623471,0.0287477818,0.9712522182
0.1256275348,0.8743724652,0.0290789116,0.9709210884
0.1254128277,0.8745871723,0.0291796971,0.9708203029
0.1253120873,0.8746879127,0.0292335718,0.9707664282
0.1254048665,0.8745951335,0.0293845299,0.9706154701
0.1253373998,0.8746626002,0.0290887214,0.9709112786
0.1254102828,0.8745897172,0.0286939382,0.9713060618
0.1254040908,0.8745959092,0.028807516,0.971192484
0.1254491306,0.8745508694,0.0290968102,0.9709031898
0.1252540958,0.8747459042,0.0296555696,0.9703444304
0.1253800273,0.8746199727,0.0288047666,0.9711952334
0.1253738404,0.8746261596,0.0287601543,0.9712398457
0.1254875512,0.8745124488,0.028985805,0.971014195
0.1254732991,0.8745267009,0.029269094,0.970730906
0.1254370963,0.8745629037,0.0290936371,0.9709063629
0.1253451756,0.8746548244,0.0291829094,0.9708170906
0.1254331777,0.8745668223,0.0292962634,0.9707037366
0.1252413729,0.8747586271,0.0287109094,0.9712890906
0.1254159985,0.8745840015,0.0291237259,0.9708762741
0.1253517579,0.8746482421,0.02923736,0.97076264
0.125409731,0.874590269,0.0288757238,0.9711242762
0.1253657942,0.8746342058,0.0291471975,0.9708528025
0.1253829496,0.8746170504,0.0297016004,0.9702983996
0.1253235602,0.8746764398,0.0291398786,0.9708601214
0.1253821714,0.8746178286,0.0286980712,0.9713019288
0.12535481,0.87464519,0.0284046793,0.9715953207
0.1253096341,0.8746903659,0.0292527887,0.9707472113
0.125396876,0.874603124,0.0288028386,0.9711971614
0.1253375213,0.8746624787,0.0286665197,0.9713334803
0.1252795065,0.8747204935,0.0295649573,0.9704350427
0.1253619869,0.8746380131,0.0292083092,0.9707916908
0.1252426083,0.8747573917,0.0291716606,0.9708283394
0.1254478074,0.8745521926,0.0288882254,0.9711117746
0.1253718375,0.8746281625,0.0289105248,0.9710894752
0.1253936398,0.8746063602,0.0284949695,0.9715050305
0.1254326194,0.8745673806,0.0294950097,0.9705049903
0.1254719814,0.8745280186,0.0284510011,0.9715489989
0.1254231739,0.8745768261,0.0287950163,0.9712049837
0.1254639809,0.8745360191,0.0291313451,0.9708686549
0.1253006284,0.8746993716,0.0289369088,0.9710630912
0.1253679524,0.8746320476,0.0284633111,0.9715366889
0.1252461044,0.8747538956,0.0292308325,0.9707691675
0.1253059001,0.8746940999,0.0286684038,0.9713315962
0.125409709,0.874590291,0.0290389348,0.9709610652
0.1252775405,0.8747224595,0.0290048049,0.9709951951
0.1254183815,0.8745816185,0.029146873,0.970853127
0.1252736393,0.8747263607,0.0288009686,0.9711990314
0.1255212356,0.8744787644,0.0286445988,0.9713554012
0.1254589526,0.8745410474,0.0292014027,0.9707985973
